method,training_seed,budget_kimg,nfe,kid5k,fid5k,checkpoint_sha256,mid_t,sampling_seed,num_generated,metric_source
sigmoid,0,16,1,0.5911149978637695,483.6696420342726,32aa4661584663c40bc05a3b5c5bef3bd4e8b60e289023d491fbe46fac5478ed,,0-4999,5000,Role-A formal run manifests: sample_seeds=0-4999; sample_count=5000; metric_seed=20260722
adaptive_v1,0,16,1,0.5948042273521423,484.78286903856355,7d162808dc98deec28d269693cba4242b97e52d8431017fe9e45a54a8c3d151a,,0-4999,5000,Role-A formal run manifests: sample_seeds=0-4999; sample_count=5000; metric_seed=20260722
sigmoid,1,16,1,0.4374769330024719,381.84189640961847,3ffd271c99a3d09bc63c749f5b69f76af37bbbec54678e88885eb3341750e7ec,,0-4999,5000,Role-A formal run manifests: sample_seeds=0-4999; sample_count=5000; metric_seed=20260722
adaptive_v1,1,16,1,0.4278477430343628,375.53195760880396,b7bc291a80298121c091945519d79f1f8c79deb318b4790e2d7371a1510b7a13,,0-4999,5000,Role-A formal run manifests: sample_seeds=0-4999; sample_count=5000; metric_seed=20260722
sigmoid,2,16,1,0.567756175994873,475.8780162559483,3fed09e540f8419db32bac9c1fdfe93033aaad225198ecc2bbce4eccf26b5865,,0-4999,5000,Role-A formal run manifests: sample_seeds=0-4999; sample_count=5000; metric_seed=20260722
adaptive_v1,2,16,1,0.5735194087028503,478.2201833557063,b04098a8d53449b3d2666f87b8d63e6f16ba11d6c2a5069c1d81d33d995f1d43,,0-4999,5000,Role-A formal run manifests: sample_seeds=0-4999; sample_count=5000; metric_seed=20260722
sigmoid,0,16,2,0.24365437030792236,238.35642663442655,32aa4661584663c40bc05a3b5c5bef3bd4e8b60e289023d491fbe46fac5478ed,0.821,0-4999,5000,Role-A formal run manifests: sample_seeds=0-4999; sample_count=5000; metric_seed=20260722
adaptive_v1,0,16,2,0.2451242357492447,239.5964191589499,7d162808dc98deec28d269693cba4242b97e52d8431017fe9e45a54a8c3d151a,0.821,0-4999,5000,Role-A formal run manifests: sample_seeds=0-4999; sample_count=5000; metric_seed=20260722
sigmoid,1,16,2,0.2847936749458313,278.5354496890211,3ffd271c99a3d09bc63c749f5b69f76af37bbbec54678e88885eb3341750e7ec,0.821,0-4999,5000,Role-A formal run manifests: sample_seeds=0-4999; sample_count=5000; metric_seed=20260722
adaptive_v1,1,16,2,0.28532806038856506,278.94094193957403,b7bc291a80298121c091945519d79f1f8c79deb318b4790e2d7371a1510b7a13,0.821,0-4999,5000,Role-A formal run manifests: sample_seeds=0-4999; sample_count=5000; metric_seed=20260722
sigmoid,2,16,2,0.3588750958442688,330.29187425815263,3fed09e540f8419db32bac9c1fdfe93033aaad225198ecc2bbce4eccf26b5865,0.821,0-4999,5000,Role-A formal run manifests: sample_seeds=0-4999; sample_count=5000; metric_seed=20260722
adaptive_v1,2,16,2,0.36032578349113464,331.1610005332725,b04098a8d53449b3d2666f87b8d63e6f16ba11d6c2a5069c1d81d33d995f1d43,0.821,0-4999,5000,Role-A formal run manifests: sample_seeds=0-4999; sample_count=5000; metric_seed=20260722
sigmoid,0,32,1,0.48868125677108765,435.11671879076783,cb196bf9d6ba0fdd20858cc64c59a138c625c7584a5a445a37f9bdf9380e8c71,,0-4999,5000,Role-A formal run manifests: sample_seeds=0-4999; sample_count=5000; metric_seed=20260722
adaptive_v1,0,32,1,0.4890937805175781,435.31356889065256,a9f6c06d22e1e6409680efd31d43fe90714fec4a7b211ea4bd718a6cae810d9c,,0-4999,5000,Role-A formal run manifests: sample_seeds=0-4999; sample_count=5000; metric_seed=20260722
sigmoid,1,32,1,0.5125685930252075,441.65582202990106,e5cc717d278bcd9d5ab7930486c22ce1a81e915a502deb31e6265a3e4e126b90,,0-4999,5000,Role-A formal run manifests: sample_seeds=0-4999; sample_count=5000; metric_seed=20260722
adaptive_v1,1,32,1,0.513994038105011,441.9636796001353,610f353f4afeebee9e4ab12ee1fa170365d0bb42d138aa0a06c0c087bc4e577e,,0-4999,5000,Role-A formal run manifests: sample_seeds=0-4999; sample_count=5000; metric_seed=20260722
sigmoid,2,32,1,0.5092737078666687,448.6397706192315,3f1bf37bf6512751ab55bc89ad1971c98679c79d5b5979d20b4730d62c64e420,,0-4999,5000,Role-A formal run manifests: sample_seeds=0-4999; sample_count=5000; metric_seed=20260722
adaptive_v1,2,32,1,0.5107670426368713,449.4239786522884,1c2e266d2e9c02459f10fbbe53c1497e8df8c656d54ea53b6c7ab69c9b3c8060,,0-4999,5000,Role-A formal run manifests: sample_seeds=0-4999; sample_count=5000; metric_seed=20260722
sigmoid,0,32,2,0.3879791796207428,353.04425818876825,cb196bf9d6ba0fdd20858cc64c59a138c625c7584a5a445a37f9bdf9380e8c71,0.821,0-4999,5000,Role-A formal run manifests: sample_seeds=0-4999; sample_count=5000; metric_seed=20260722
adaptive_v1,0,32,2,0.3888939917087555,353.5467423298096,a9f6c06d22e1e6409680efd31d43fe90714fec4a7b211ea4bd718a6cae810d9c,0.821,0-4999,5000,Role-A formal run manifests: sample_seeds=0-4999; sample_count=5000; metric_seed=20260722
sigmoid,1,32,2,0.21514341235160828,216.32016200544206,e5cc717d278bcd9d5ab7930486c22ce1a81e915a502deb31e6265a3e4e126b90,0.821,0-4999,5000,Role-A formal run manifests: sample_seeds=0-4999; sample_count=5000; metric_seed=20260722
adaptive_v1,1,32,2,0.21717694401741028,218.282160794282,610f353f4afeebee9e4ab12ee1fa170365d0bb42d138aa0a06c0c087bc4e577e,0.821,0-4999,5000,Role-A formal run manifests: sample_seeds=0-4999; sample_count=5000; metric_seed=20260722
sigmoid,2,32,2,0.42143067717552185,374.85480094568607,3f1bf37bf6512751ab55bc89ad1971c98679c79d5b5979d20b4730d62c64e420,0.821,0-4999,5000,Role-A formal run manifests: sample_seeds=0-4999; sample_count=5000; metric_seed=20260722
adaptive_v1,2,32,2,0.42848312854766846,379.05337980788005,1c2e266d2e9c02459f10fbbe53c1497e8df8c656d54ea53b6c7ab69c9b3c8060,0.821,0-4999,5000,Role-A formal run manifests: sample_seeds=0-4999; sample_count=5000; metric_seed=20260722
sigmoid,0,64,1,0.4878055155277252,429.5904741914846,514b67696ca911ccdd9e16c5cce93d91e2c2c77433a82a2c2b8c0ae0b410dc9f,,0-4999,5000,Role-A formal run manifests: sample_seeds=0-4999; sample_count=5000; metric_seed=20260722
adaptive_v1,0,64,1,0.48724865913391113,429.7458044055775,dc5fdcac27f49e845eae1d28571cd0c3be6756aa6aee785e3189c1c27f527aa3,,0-4999,5000,Role-A formal run manifests: sample_seeds=0-4999; sample_count=5000; metric_seed=20260722
sigmoid,1,64,1,0.4751233458518982,418.23088510630885,bb98925649c0267064210a069887ae9b5dd3eff26727651318818ac2d46c09f9,,0-4999,5000,Role-A formal run manifests: sample_seeds=0-4999; sample_count=5000; metric_seed=20260722
adaptive_v1,1,64,1,0.4754484295845032,418.42141522198887,c1eaef2c89c1365aa5c3e5b65c8522152468bf213923004c299ac6a058fddbdf,,0-4999,5000,Role-A formal run manifests: sample_seeds=0-4999; sample_count=5000; metric_seed=20260722
sigmoid,2,64,1,0.5190601348876953,437.3195436021108,73c5b0c7b3e5130a76f80d26cb30e6969d049d941ac0e6568ee16f7c1d5bc925,,0-4999,5000,Role-A formal run manifests: sample_seeds=0-4999; sample_count=5000; metric_seed=20260722
adaptive_v1,2,64,1,0.5199764966964722,437.9850438086264,3f3b4a69dec396d4af1010c6c26323d442e64b60fd3c7b354c4820c60aae1157,,0-4999,5000,Role-A formal run manifests: sample_seeds=0-4999; sample_count=5000; metric_seed=20260722
sigmoid,0,64,2,0.4059482514858246,364.87099871412147,514b67696ca911ccdd9e16c5cce93d91e2c2c77433a82a2c2b8c0ae0b410dc9f,0.821,0-4999,5000,Role-A formal run manifests: sample_seeds=0-4999; sample_count=5000; metric_seed=20260722
adaptive_v1,0,64,2,0.4068980813026428,365.5074929430672,dc5fdcac27f49e845eae1d28571cd0c3be6756aa6aee785e3189c1c27f527aa3,0.821,0-4999,5000,Role-A formal run manifests: sample_seeds=0-4999; sample_count=5000; metric_seed=20260722
sigmoid,1,64,2,0.28407230973243713,270.97941291841283,bb98925649c0267064210a069887ae9b5dd3eff26727651318818ac2d46c09f9,0.821,0-4999,5000,Role-A formal run manifests: sample_seeds=0-4999; sample_count=5000; metric_seed=20260722
adaptive_v1,1,64,2,0.27491092681884766,263.31739343516506,c1eaef2c89c1365aa5c3e5b65c8522152468bf213923004c299ac6a058fddbdf,0.821,0-4999,5000,Role-A formal run manifests: sample_seeds=0-4999; sample_count=5000; metric_seed=20260722
sigmoid,2,64,2,0.428162544965744,377.60478135599294,73c5b0c7b3e5130a76f80d26cb30e6969d049d941ac0e6568ee16f7c1d5bc925,0.821,0-4999,5000,Role-A formal run manifests: sample_seeds=0-4999; sample_count=5000; metric_seed=20260722
adaptive_v1,2,64,2,0.4338109493255615,380.97130757057425,3f3b4a69dec396d4af1010c6c26323d442e64b60fd3c7b354c4820c60aae1157,0.821,0-4999,5000,Role-A formal run manifests: sample_seeds=0-4999; sample_count=5000; metric_seed=20260722
